"","group","D","p","EPU"
"97","WinterSkate","0.0651465798045603",0.0109045039803902,"GB"
"98","LittleSkate","0.0268729641693811",0.767011143087368,"GB"
"99","OtherSkates","0.0415309446254072",0.240106709369507,"GB"
"100","Illex","0.0415309446254072",0.240106709369507,"GB"
"101","Loligo","0.0350162866449511",0.43888172324258,"GB"
"102","OtherCephalopods","0.0325732899022801",0.532579790990066,"GB"
"103","AmLobster","0.0293159609120521",0.666920626145309,"GB"
"104","Macrobenthos","0.0675895765472313",0.0073226153838969,"GB"
"105","Megabenthos","0.0944625407166124",3.48482532987181e-05,"GB"
"106","AtlScallop","0.0219869706840391",0.927927963216092,"GB"
"107","OceanQuahog","0.0390879478827362",0.305253570794347,"GB"
"108","SurfClam","0.0276872964169381",0.734292024123352,"GB"
"109","OtherShrimps","0.0293159609120521",0.666920626145308,"GB"
"110","Krill","0.0162866449511401",0.996812666080534,"GB"
"111","Micronekton","0.0472312703583062",0.129181585444594,"GB"
"112","GelZooplankton","0.0863192182410424",0.000212474207594629,"GB"
"113","Microzooplankton","0.0879478827361564",0.00014994767546671,"GB"
"114","Bacteria","0.0627035830618893",0.0160021974200805,"GB"
"115","LgCopepods","0.0749185667752443",0.00203072793038355,"GB"
"116","SmCopepods","0.203583061889251",1.57499760889764e-22,"GB"
"117","Phytoplankton","0.358306188925082",6.7991354888909e-69,"GB"
"118","Detritus","0.0855048859934854",0.000252306522937315,"GB"
"119","AmLobster","0.0457142857142857",0.642913014524026,"MAB"
"120","RiverHerring","0.04",0.794989369516666,"MAB"
"121","AtlCroaker","0.0438095238095238",0.6948729294103,"MAB"
"122","AtlMackerel","0.0857142857142857",0.0422561612089278,"MAB"
"123","AtlScallop","0.0495238095238095",0.540279295368638,"MAB"
"124","Bacteria","0.0838095238095238",0.050062274858333,"MAB"
"125","BaleenWhales","0.059047619047619",0.319366846361674,"MAB"
"126","BlackSeaBass","0.0342857142857143",0.917194776829921,"MAB"
"127","Bluefish","0.0742857142857143",0.110342765232026,"MAB"
"128","Butterfish","0.0666666666666667",0.193767083268003,"MAB"
"129","Cod","0.0647619047619047",0.220885438162843,"MAB"
"130","Fourspot","0.0304761904761905",0.96778996986715,"MAB"
"131","GelZooplankton","0.0323809523809524",0.945974824392181,"MAB"
"132","Goosefish","0.0895238095238096",0.0297634198031392,"MAB"
"133","HMS","0.0438095238095238",0.6948729294103,"MAB"
"134","Illex","0.04",0.794989369516666,"MAB"
"135","LgCopepods","0.0780952380952381",0.0813637915309026,"MAB"
"136","LittleSkate","0.0438095238095238",0.6948729294103,"MAB"
"137","Loligo","0.0304761904761905",0.96778996986715,"MAB"
"138","Macrobenthos","0.116190476190476",0.00167076801734986,"MAB"
"139","Megabenthos","0.0380952380952381",0.840703010871351,"MAB"
"140","Mesopelagics","0.04",0.794989369516666,"MAB"
"141","Micronekton","0.104761904761905",0.00629023019188377,"MAB"
"142","Microzooplankton","0.0780952380952381",0.0813637915309026,"MAB"
"143","OceanPout","0.059047619047619",0.319366846361674,"MAB"
"144","Odontocetes","0.0457142857142857",0.642913014524026,"MAB"
"145","OtherCephalopods","0.0628571428571428",0.250793845213934,"MAB"
"146","OtherDemersals","0.04",0.794989369516666,"MAB"
"147","OtherPelagics","0.0419047619047619",0.745955970198565,"MAB"
"148","OtherShrimps","0.0761904761904762",0.0949334789729922,"MAB"
"149","OtherSkates","0.0476190476190476",0.591098708980024,"MAB"
"150","Phytoplankton","0.441904761904763",5.97492534624299e-45,"MAB"
"151","RedHake","0.0533333333333333",0.444157766613245,"MAB"
"152","Scup","0.0342857142857143",0.917194776829921,"MAB"
"153","SeaBirds","0.0780952380952381",0.0813637915309027,"MAB"
"154","Sharks","0.04",0.794989369516666,"MAB"
"155","SilverHake","0.0819047619047619",0.0590846943616623,"MAB"
"156","SmCopepods","0.102857142857143",0.00774166427624599,"MAB"
"157","SmFlatfishes","0.0380952380952381",0.840703010871351,"MAB"
"158","SmoothDogfish","0.0723809523809524",0.12776151342879,"MAB"
"159","SmPelagics","0.118095238095238",0.00132180430021155,"MAB"
"160","SouthernDemersals","0.0609523809523809",0.283623653268183,"MAB"
"161","SpinyDogfish","0.0609523809523809",0.283623653268183,"MAB"
"162","SummerFlounder","0.0419047619047619",0.745955970198565,"MAB"
"163","Weakfish","0.0438095238095238",0.6948729294103,"MAB"
"164","Windowpane","0.0571428571428571",0.358087601395283,"MAB"
"165","WinterFlounder","0.0419047619047619",0.745955970198565,"MAB"
"166","WinterSkate","0.0323809523809524",0.94597482439218,"MAB"
"167","YTFlounder","0.0438095238095238",0.6948729294103,"MAB"
"168","Krill","0.059047619047619",0.319366846361674,"MAB"
"169","AtlMenhaden","0.0571428571428571",0.358087601395282,"MAB"
"170","Detritus","0.278095238095239",4.65421887191228e-18,"MAB"
